month,unemp_web_search,unemp_rate,,,,,,,,
2021-02,81,6.2,,,,,,,,
2021-03,76,6.1,,,,,,,,
2021-04,67,6.1,,,,,,,,
2021-05,68,5.8,,,,,,,,
2021-06,60,5.9,,,,,,,,
2021-07,53,5.4,,,,,,,,
2021-08,48,5.1,,,,,,,,
2021-09,35,4.7,,,,,,,,
2021-10,20,4.5,,,,,,,,
2021-11,17,4.2,,,,,,,,
2021-12,16,3.9,,,,,,,,
2022-01,21,4,,,,,,,,
2022-02,18,3.8,,,,,,,,
2022-03,15,3.7,,,,,,,,
2022-04,12,3.7,,,,,,,,
2022-05,11,3.6,,,,,,,,
2022-06,11,3.6,,,,,,,,
2022-07,13,3.5,,,,,,,,
2022-08,11,3.6,,,,,,,,
2022-09,10,3.5,,,,,,,,
2022-10,11,3.6,,,,,,,,
2022-11,12,3.6,,,,,,,,
2022-12,12,3.5,,,,,,,,
2023-01,14,3.5,,,,,,,,
2023-02,13,3.6,,,,,,,,
2023-03,12,3.5,,,,,,,,
2023-04,12,3.4,,,,,,,,
2023-05,12,3.6,,,,,,,,
2023-06,12,3.6,,,,,,,,
2023-07,12,3.5,,,,,,,,
2023-08,11,3.7,,,,,,,,
2023-09,11,3.8,,,,,,,,
2023-10,11,3.9,,,,,,,,
2023-11,11,3.7,,,,,,,,
2023-12,12,3.8,,,,,,,,
2024-01,14,3.7,,,,,,,,
2024-02,12,3.9,,,,,,,,
2024-03,11,3.9,,,,,,,,
2024-04,12,3.9,,,,,,,,
2024-05,11,4,,,,,,,,
2024-06,11,4.1,,,,,,,,
2024-07,12,4.2,,,,,,,,
2024-08,11,4.2,,,,,,,,
2024-09,11,4.1,,,,,,,,
2024-10,11,4.1,,,,,,,,
2024-11,10,4.2,,,,,,,,
2024-12,11,4.1,,,,,,,,
2025-01,13,4,,,,,,,,
2025-02,12,4.1,,,,,,,,
2025-03,11,4.2,,,,,,,,
2025-04,12,4.2,,,,,,,,
2025-05,10,4.2,,,,,,,,
2025-06,11,4.1,,,,,,,,
2025-07,12,4.2,,,,,,,,
2025-08,10,4.3,,,,,,,,
2025-09,10,4.4,,,,,,,,
2025-10,12,,,,,,,,,
2025-11,11,,,,,,,,,
2025-12,12,,,,,,,,,
