Date,Price,Open,High,Low,Vol.,Change
9/21/25,"115,243.00","115,699.20","115,833.20","115,205.50",19.28K,-0.39%
9/20/25,"115,699.20","115,649.00","116,138.40","115,424.90",20.42K,0.04%
9/19/25,"115,649.00","117,089.20","117,470.70","115,133.50",36.98K,-1.23%
9/18/25,"117,086.00","116,426.50","117,910.40","116,144.90",46.50K,0.57%
9/17/25,"116,425.90","116,795.90","117,284.20","114,782.50",56.85K,-0.32%
9/16/25,"116,795.90","115,362.10","116,970.00","114,801.00",43.05K,1.24%
9/15/25,"115,362.10","115,314.20","116,723.20","114,412.20",48.68K,0.04%
9/14/25,"115,314.60","115,924.80","116,165.60","115,158.30",25.84K,-0.53%
9/13/25,"115,924.90","116,042.60","116,292.40","115,207.30",30.79K,-0.10%
9/12/25,"116,042.80","115,490.50","116,684.30","114,766.10",56.48K,0.48%
9/11/25,"115,490.20","113,963.50","115,490.60","113,446.60",47.81K,1.34%
9/10/25,"113,963.50","111,517.10","114,300.70","110,938.80",62.24K,2.19%
9/9/25,"111,516.50","112,066.30","113,259.90","110,781.10",53.76K,-0.49%
9/8/25,"112,068.40","111,140.90","112,896.90","110,630.50",41.95K,0.83%
9/7/25,"111,150.10","110,194.40","111,594.10","110,185.60",23.81K,0.87%
9/6/25,"110,194.40","110,660.10","111,313.40","110,010.50",21.14K,-0.41%
9/5/25,"110,652.20","110,727.90","113,315.60","110,234.60",63.56K,-0.05%
9/4/25,"110,712.70","111,716.50","112,189.10","109,344.80",43.30K,-0.90%
9/3/25,"111,716.50","111,227.90","112,568.10","110,547.90",43.05K,0.45%
9/2/25,"111,218.30","109,241.60","111,714.60","108,425.30",60.02K,1.81%
9/1/25,"109,243.30","108,247.30","109,898.50","107,274.70",53.13K,0.94%
8/31/25,"108,226.80","108,818.10","109,484.20","108,092.60",33.80K,-0.54%
8/30/25,"108,818.10","108,367.70","108,925.30","107,433.40",41.99K,0.43%
8/29/25,"108,355.60","112,568.90","112,617.30","107,538.70",69.98K,-3.74%
8/28/25,"112,568.90","111,263.20","113,464.60","110,887.70",41.38K,1.18%
8/27/25,"111,255.60","111,768.60","112,611.30","110,409.90",44.41K,-0.46%
8/26/25,"111,768.60","110,118.40","112,377.00","108,768.30",62.08K,1.50%
8/25/25,"110,118.40","113,486.60","113,665.10","109,295.10",76.94K,-2.97%
8/24/25,"113,483.20","115,431.50","115,663.30","110,815.90",64.88K,-1.69%
8/23/25,"115,433.30","116,928.90","117,024.30","114,576.50",39.63K,-1.28%
8/22/25,"116,928.90","112,492.90","117,416.90","111,698.50",72.83K,3.95%
8/21/25,"112,481.10","114,275.00","114,776.30","112,023.00",43.00K,-1.57%
8/20/25,"114,275.00","112,878.10","114,616.70","112,409.40",54.63K,1.24%
8/19/25,"112,880.30","116,218.90","116,729.20","112,750.90",62.15K,-2.86%
8/18/25,"116,203.80","117,417.90","117,552.70","114,653.80",58.82K,-1.02%
8/17/25,"117,405.40","117,393.80","118,559.40","117,192.40",21.87K,-0.01%
8/16/25,"117,413.40","117,356.30","117,914.90","117,195.60",25.18K,0.05%
8/15/25,"117,356.30","118,314.10","119,231.90","116,816.80",45.23K,-0.81%
8/14/25,"118,314.20","123,313.60","124,436.80","117,275.10",86.59K,-4.06%
8/13/25,"123,323.40","120,138.40","123,651.80","118,959.90",76.09K,2.64%
8/12/25,"120,146.20","118,689.60","120,317.20","118,217.40",56.86K,1.23%
8/11/25,"118,689.60","119,291.80","122,319.50","118,242.50",81.13K,-0.50%
8/10/25,"119,287.00","116,468.40","119,305.30","116,468.40",46.65K,2.42%
8/9/25,"116,471.60","116,676.50","117,893.00","116,357.70",34.33K,-0.18%
8/8/25,"116,676.30","117,480.50","117,625.10","115,917.80",39.88K,-0.68%
8/7/25,"117,480.50","115,002.10","117,628.40","114,267.30",47.52K,2.16%
8/6/25,"115,002.10","114,131.70","115,714.00","113,361.20",34.73K,0.76%
8/5/25,"114,139.10","115,055.30","115,111.70","112,678.90",41.41K,-0.80%
8/4/25,"115,055.30","114,213.10","115,720.90","114,116.10",36.55K,0.74%
8/3/25,"114,213.10","112,547.90","114,758.40","111,992.40",27.15K,1.48%
8/2/25,"112,547.70","113,306.40","114,050.00","112,015.50",38.34K,-0.67%
8/1/25,"113,312.10","115,766.70","116,054.60","112,760.60",77.85K,-2.12%
7/31/25,"115,765.00","117,840.40","118,920.70","115,510.00",56.43K,-1.76%
7/30/25,"117,840.40","117,949.80","118,693.50","115,830.70",48.17K,-0.09%
7/29/25,"117,950.10","118,054.80","119,261.00","117,002.70",51.88K,-0.09%
7/28/25,"118,053.90","119,402.70","119,788.20","117,426.50",61.81K,-1.13%
7/27/25,"119,398.10","117,918.30","119,771.10","117,840.40",34.87K,1.26%
7/26/25,"117,917.60","117,632.20","118,298.10","117,150.50",31.06K,0.24%
7/25/25,"117,631.90","118,311.50","118,449.80","114,843.50",131.51K,-0.57%
7/24/25,"118,310.90","118,760.70","119,459.70","117,141.70",55.00K,-0.38%
7/23/25,"118,763.00","119,965.50","120,089.50","117,345.20",50.19K,-1.00%
7/22/25,"119,965.50","117,388.20","120,253.10","116,199.10",70.23K,2.20%
7/21/25,"117,388.10","117,297.20","119,634.00","116,540.90",54.78K,0.08%
7/20/25,"117,297.20","117,848.40","118,860.00","116,515.20",40.07K,-0.47%
7/19/25,"117,848.40","117,942.30","118,508.20","117,308.60",23.56K,-0.08%
7/18/25,"117,940.30","119,196.40","120,801.20","116,839.20",66.90K,-1.05%
7/17/25,"119,194.90","118,680.60","120,944.50","117,489.70",55.75K,0.43%
7/16/25,"118,683.20","117,762.40","120,028.00","117,030.50",60.71K,0.78%
7/15/25,"117,762.30","119,846.70","119,944.00","115,774.00",113.79K,-1.74%
7/14/25,"119,849.50","119,092.20","123,104.70","118,913.70",89.94K,0.64%
7/13/25,"119,090.60","117,422.40","119,441.60","117,247.70",33.24K,1.42%
7/12/25,"117,419.50","117,535.60","118,206.60","116,951.20",32.19K,-0.10%
7/11/25,"117,535.60","115,994.00","118,848.40","115,261.90",89.27K,1.33%
7/10/25,"115,993.60","111,246.10","116,626.30","110,631.90",82.26K,4.27%
7/9/25,"111,246.00","108,913.10","111,915.70","108,329.90",56.81K,2.14%
7/8/25,"108,913.10","108,267.60","109,208.30","107,474.20",32.36K,0.59%
7/7/25,"108,269.60","109,207.00","109,686.80","107,526.50",35.34K,-0.86%
7/6/25,"109,207.00","108,204.70","109,701.80","107,818.80",21.94K,0.93%
7/5/25,"108,204.70","107,989.60","108,357.50","107,797.80",14.93K,0.20%
7/4/25,"107,989.60","109,600.80","109,723.70","107,268.20",40.92K,-1.47%
7/3/25,"109,600.50","108,846.70","110,506.80","108,550.80",45.39K,0.70%
7/2/25,"108,843.70","105,694.00","109,727.80","105,163.50",62.51K,2.98%
7/1/25,"105,694.30","107,176.40","107,532.30","105,289.40",40.28K,-1.38%
6/30/25,"107,171.10","108,362.30","108,777.00","106,743.10",37.46K,-1.10%
6/29/25,"108,361.10","107,304.30","108,470.50","107,188.40",25.96K,0.98%
6/28/25,"107,304.40","107,048.20","107,542.30","106,822.00",14.26K,0.24%
6/27/25,"107,044.20","106,948.00","107,726.50","106,414.10",46.24K,0.09%
6/26/25,"106,945.90","107,350.60","108,261.20","106,650.00",38.70K,-0.38%
6/25/25,"107,349.40","106,086.00","108,128.00","105,828.20",58.14K,1.20%
6/24/25,"106,078.60","105,376.90","106,268.70","104,642.90",52.81K,0.67%
6/23/25,"105,376.90","100,782.50","106,032.70","99,696.90",83.16K,4.34%
6/22/25,"100,990.40","102,114.50","103,300.40","98,249.20",81.37K,-1.10%
6/21/25,"102,113.20","103,287.20","103,989.30","100,947.80",37.52K,-1.13%
6/20/25,"103,280.50","104,669.60","106,520.30","102,396.80",51.48K,-1.33%
6/19/25,"104,669.60","104,894.20","105,220.50","103,934.50",28.47K,-0.21%
6/18/25,"104,894.20","104,571.40","105,553.00","103,622.40",45.60K,0.32%
6/17/25,"104,559.80","106,769.80","107,747.40","103,386.30",60.73K,-2.04%
6/16/25,"106,740.40","105,594.00","108,899.30","104,993.80",50.95K,1.09%
6/15/25,"105,591.80","105,421.60","106,098.90","104,502.00",26.22K,0.16%
6/14/25,"105,421.50","106,028.50","106,196.90","104,321.00",30.99K,-0.62%
6/13/25,"106,080.30","105,702.70","106,147.00","102,739.60",73.84K,0.36%
6/12/25,"105,703.00","108,662.20","108,776.20","105,703.00",59.87K,-2.72%
6/11/25,"108,661.20","110,269.20","110,386.10","108,081.90",44.80K,-1.46%
6/10/25,"110,269.20","110,268.30","110,369.20","108,380.60",58.28K,0.00%
6/9/25,"110,268.30","105,739.60","110,404.90","105,333.30",64.28K,4.28%
6/8/25,"105,739.60","105,564.20","106,449.30","105,011.60",29.11K,0.17%
6/7/25,"105,564.20","104,308.30","105,911.70","103,911.00",32.39K,1.20%
6/6/25,"104,308.30","101,524.10","105,306.50","101,127.60",61.97K,2.74%
6/5/25,"101,521.90","104,690.60","105,914.40","100,421.10",73.53K,-3.03%
6/4/25,"104,695.60","105,383.50","105,971.20","104,224.00",50.06K,-0.66%
6/3/25,"105,388.30","105,845.60","106,758.40","104,886.90",49.47K,-0.43%
6/2/25,"105,845.60","105,635.20","105,930.70","103,729.70",46.44K,0.20%
6/1/25,"105,635.20","104,598.00","105,867.50","103,768.60",33.03K,0.99%
5/31/25,"104,598.00","103,981.90","104,888.40","103,091.30",35.80K,0.59%
5/30/25,"103,981.30","105,598.80","106,314.90","103,693.90",71.98K,-1.53%
5/29/25,"105,600.00","107,759.10","108,896.70","105,399.90",70.02K,-2.03%
5/28/25,"107,786.70","108,905.70","109,238.30","106,804.90",51.84K,-1.06%
5/27/25,"108,944.00","109,455.30","110,718.70","107,572.20",65.02K,-0.47%
5/26/25,"109,455.30","109,014.90","110,401.40","108,694.00",48.01K,0.40%
5/25/25,"109,021.10","107,763.00","109,203.40","106,648.30",52.49K,1.17%
5/24/25,"107,763.00","107,313.50","109,476.40","106,904.50",52.26K,0.42%
5/23/25,"107,313.40","111,702.60","111,778.70","106,855.40",87.57K,-3.93%
5/22/25,"111,702.70","109,632.60","111,953.60","109,281.80",96.35K,1.88%
5/21/25,"109,640.10","106,814.70","110,628.80","106,109.50",124.17K,2.64%
5/20/25,"106,815.80","105,586.10","107,270.50","104,199.30",76.08K,1.16%
5/19/25,"105,585.80","106,507.70","107,081.30","102,088.20",90.49K,-0.86%
5/18/25,"106,504.50","103,113.90","106,577.00","103,113.90",62.47K,3.29%
5/17/25,"103,112.60","103,473.90","103,712.30","102,626.50",37.43K,-0.36%
5/16/25,"103,480.50","103,764.60","104,544.10","103,126.50",53.27K,-0.27%
5/15/25,"103,765.40","103,513.20","104,153.80","101,436.80",59.68K,0.24%
5/14/25,"103,513.90","104,116.30","104,316.00","102,632.90",55.58K,-0.58%
5/13/25,"104,119.20","102,794.90","104,972.90","101,510.20",71.91K,1.29%
5/12/25,"102,795.00","104,119.20","105,765.20","100,766.80",90.21K,-1.27%
5/11/25,"104,119.20","104,748.30","104,930.90","103,358.80",54.76K,-0.65%
5/10/25,"104,798.00","102,974.70","104,969.80","102,837.20",48.42K,1.77%
5/9/25,"102,975.10","103,270.70","104,308.70","102,365.70",87.34K,-0.29%
5/8/25,"103,274.30","97,035.10","103,885.40","96,901.90",110.60K,6.43%
5/7/25,"97,035.10","96,817.90","97,647.50","95,798.40",59.98K,0.22%
5/6/25,"96,825.40","94,745.90","96,893.90","93,408.80",55.76K,2.20%
5/5/25,"94,745.20","94,314.60","95,206.80","93,590.80",59.21K,0.45%
5/4/25,"94,316.90","95,885.50","96,297.80","94,206.10",41.31K,-1.64%
5/3/25,"95,885.80","96,894.30","96,922.20","95,785.50",36.24K,-1.04%
5/2/25,"96,894.40","96,497.30","97,881.80","96,359.30",51.94K,0.41%
5/1/25,"96,499.30","94,181.30","97,394.30","94,168.10",74.56K,2.46%
4/30/25,"94,184.40","94,265.00","95,223.40","93,049.60",57.10K,-0.09%
4/29/25,"94,269.80","94,995.40","95,453.40","93,758.00",59.86K,-0.76%
4/28/25,"94,995.00","93,742.50","95,580.30","92,818.90",73.63K,1.34%
4/27/25,"93,742.50","94,631.40","95,324.40","93,640.70",36.66K,-0.94%
4/26/25,"94,631.40","94,669.30","95,207.00","93,891.80",33.77K,-0.05%
4/25/25,"94,676.90","93,979.40","95,718.60","92,867.20",92.04K,0.74%
4/24/25,"93,980.30","93,696.30","94,001.00","91,673.00",66.68K,0.30%
4/23/25,"93,697.70","93,442.20","94,462.60","91,963.40",90.35K,0.27%
4/22/25,"93,441.90","87,516.00","93,816.90","87,105.20",130.17K,6.77%
4/21/25,"87,516.00","85,179.00","88,449.60","85,148.80",98.50K,2.74%
4/20/25,"85,179.00","85,075.50","85,321.00","83,976.10",32.08K,0.13%
4/19/25,"85,068.10","84,472.40","85,604.30","84,366.50",32.07K,0.70%
4/18/25,"84,474.60","84,947.70","85,106.10","84,331.00",25.83K,-0.55%
4/17/25,"84,940.00","84,032.20","85,467.30","83,786.20",49.28K,1.08%
4/16/25,"84,032.20","83,648.10","85,438.20","83,143.50",63.97K,0.46%
4/15/25,"83,647.00","84,586.80","86,438.80","83,602.70",62.45K,-1.11%
4/14/25,"84,586.40","83,752.80","85,794.90","83,705.20",78.03K,1.02%
4/13/25,"83,734.40","85,282.50","85,999.50","83,049.60",70.93K,-1.83%
4/12/25,"85,292.70","83,420.50","85,893.50","82,828.00",55.60K,2.25%
4/11/25,"83,413.10","79,606.10","84,275.00","79,004.20",94.62K,4.78%
4/10/25,"79,607.50","82,606.80","82,737.50","78,495.80",92.83K,-3.63%
4/9/25,"82,607.00","76,312.30","83,566.70","74,657.30",172.18K,8.25%
4/8/25,"76,312.50","79,166.70","80,839.80","76,255.00",93.88K,-3.60%
4/7/25,"79,162.50","78,406.60","81,095.90","74,524.20",170.57K,0.98%
4/6/25,"78,391.30","83,528.00","83,731.70","77,171.10",79.17K,-6.18%
4/5/25,"83,552.10","83,876.00","84,249.30","82,384.40",32.71K,-0.38%
4/4/25,"83,866.70","83,160.20","84,704.10","81,691.10",91.54K,0.85%
4/3/25,"83,159.40","82,522.60","83,908.90","81,313.80",83.15K,0.77%
4/2/25,"82,525.00","85,166.00","88,377.30","82,358.90",104.05K,-3.10%
4/1/25,"85,164.20","82,548.60","85,506.20","82,435.80",66.72K,3.17%
3/31/25,"82,548.80","82,375.40","83,895.60","81,300.10",61.76K,0.22%
3/30/25,"82,371.60","82,646.80","83,532.90","81,593.20",35.37K,-0.33%
3/29/25,"82,645.70","84,412.10","84,603.40","81,668.20",39.34K,-2.09%
3/28/25,"84,410.40","87,209.50","87,507.50","83,596.70",85.25K,-3.23%
3/27/25,"87,228.20","86,937.00","87,751.40","85,844.40",56.49K,0.36%
3/26/25,"86,912.00","87,349.80","88,276.70","85,866.40",62.04K,-0.56%
3/25/25,"87,404.00","87,495.30","88,523.30","86,328.50",75.24K,-0.10%
3/24/25,"87,490.00","86,076.10","88,740.20","85,541.60",95.71K,1.64%
3/23/25,"86,077.40","83,840.20","86,082.00","83,812.70",31.13K,2.67%
3/22/25,"83,840.50","84,076.60","84,526.30","83,688.20",20.84K,-0.28%
3/21/25,"84,073.30","84,208.70","84,831.00","83,215.90",42.80K,-0.16%
3/20/25,"84,208.10","86,841.30","87,419.00","83,656.10",69.86K,-3.03%
3/19/25,"86,841.00","82,719.10","86,990.60","82,557.50",84.61K,4.98%
3/18/25,"82,719.10","84,019.10","84,019.10","81,171.30",58.17K,-1.55%
3/17/25,"84,019.10","82,580.30","84,729.20","82,525.00",58.04K,1.74%
3/16/25,"82,578.40","84,341.30","84,942.50","82,014.20",50.04K,-2.09%
3/15/25,"84,341.30","83,978.70","84,679.50","83,636.40",38.40K,0.43%
3/14/25,"83,977.10","81,103.50","85,286.60","80,833.20",81.23K,3.55%
3/13/25,"81,100.20","83,664.70","84,292.00","79,954.90",79.25K,-3.06%
3/12/25,"83,664.30","82,921.10","84,266.50","80,646.60",88.61K,0.90%
3/11/25,"82,921.10","78,579.70","83,572.60","76,677.10",123.59K,5.53%
3/10/25,"78,575.90","80,702.20","83,902.80","77,480.50",120.23K,-2.62%
3/9/25,"80,691.60","86,221.50","86,498.60","80,048.90",69.90K,-6.41%
3/8/25,"86,221.90","86,783.80","86,886.80","85,264.60",41.90K,-0.36%
3/7/25,"86,531.20","89,879.50","91,059.80","84,864.30",138.11K,-3.78%
3/6/25,"89,930.90","90,611.70","92,802.00","87,849.60",89.27K,-0.75%
3/5/25,"90,611.70","87,269.50","90,937.80","86,429.40",95.54K,3.83%
3/4/25,"87,266.30","86,083.80","88,887.80","81,617.00",132.50K,1.23%
3/3/25,"86,209.70","94,266.10","94,266.10","85,140.80",143.15K,-8.55%
3/2/25,"94,265.10","86,065.70","94,986.50","85,069.30",126.76K,9.52%
3/1/25,"86,071.60","84,353.40","86,546.30","83,837.30",79.51K,2.00%
2/28/25,"84,381.20","84,713.30","85,028.70","78,329.80",186.90K,-0.39%
2/27/25,"84,714.60","84,204.60","87,013.90","82,723.50",116.14K,0.60%
2/26/25,"84,212.70","88,675.00","89,375.30","82,332.90",145.33K,-5.04%
2/25/25,"88,686.00","91,510.40","92,523.10","86,097.50",195.29K,-3.08%
2/24/25,"91,508.50","96,261.00","96,497.90","91,378.50",96.46K,-4.93%
2/23/25,"96,258.80","96,556.20","96,655.20","95,259.50",38.82K,-0.31%
2/22/25,"96,556.10","96,158.30","96,930.80","95,801.10",45.62K,0.42%
2/21/25,"96,155.60","98,310.30","99,473.40","94,903.60",104.28K,-2.19%
2/20/25,"98,310.30","96,645.20","98,721.60","96,441.90",61.84K,1.72%
2/19/25,"96,644.80","95,663.70","96,829.60","95,049.10",58.27K,1.05%
2/18/25,"95,638.00","95,781.50","96,645.10","93,403.40",74.09K,-0.15%
2/17/25,"95,781.30","96,120.20","97,002.30","95,222.00",58.40K,-0.36%
2/16/25,"96,132.10","97,573.10","97,706.50","96,060.20",33.35K,-1.48%
2/15/25,"97,573.40","97,504.40","97,973.20","97,210.80",29.65K,0.07%
2/14/25,"97,504.60","96,611.60","98,817.30","96,316.50",65.37K,0.93%
2/13/25,"96,610.20","97,874.70","98,079.60","95,295.40",66.76K,-1.30%
2/12/25,"97,881.30","95,777.20","98,095.80","94,110.70",87.21K,2.20%
2/11/25,"95,771.70","97,434.70","98,476.50","94,902.70",69.89K,-1.71%
2/10/25,"97,434.70","96,469.20","98,311.60","95,307.70",71.43K,1.00%
2/9/25,"96,469.20","96,448.40","97,297.80","94,750.40",48.38K,0.02%
2/8/25,"96,447.90","96,513.50","96,862.80","95,716.10",38.99K,-0.07%
2/7/25,"96,513.50","96,564.80","100,133.90","95,693.70",97.60K,-0.06%
2/6/25,"96,568.80","96,606.30","99,119.20","95,706.60",76.92K,-0.03%
2/5/25,"96,595.30","97,784.80","99,028.30","96,163.80",82.92K,-1.23%
2/4/25,"97,793.40","101,339.70","101,692.90","96,190.50",117.35K,-3.50%
2/3/25,"101,337.10","97,686.00","102,372.20","91,695.80",190.81K,3.74%
2/2/25,"97,684.90","100,647.10","101,451.00","96,250.20",99.36K,-2.94%
2/1/25,"100,648.00","102,421.30","102,770.80","100,293.50",47.48K,-1.73%
1/31/25,"102,424.20","104,726.90","105,876.30","101,576.00",82.79K,-2.20%
1/30/25,"104,726.90","103,723.00","106,409.10","103,388.40",74.84K,0.97%
1/29/25,"103,722.00","101,342.10","104,760.00","101,340.60",74.38K,2.34%
1/28/25,"101,349.30","102,085.20","103,584.10","100,288.00",74.69K,-0.73%
1/27/25,"102,091.70","102,618.30","103,234.80","97,987.50",146.38K,-0.53%
1/26/25,"102,637.80","104,743.80","105,399.80","102,543.80",32.18K,-2.01%
1/25/25,"104,742.90","104,861.40","105,255.60","104,133.90",37.68K,-0.11%
1/24/25,"104,862.30","103,913.60","107,102.20","102,760.00",83.96K,0.91%
1/23/25,"103,912.10","103,681.30","106,806.50","101,281.60",141.80K,0.22%
1/22/25,"103,684.80","106,157.20","106,266.20","103,354.40",77.56K,-2.33%
1/21/25,"106,157.20","102,190.20","107,211.90","100,192.50",129.36K,3.87%
1/20/25,"102,197.70","101,313.30","109,228.60","99,676.00",202.66K,0.87%
1/19/25,"101,319.50","104,536.80","106,338.20","99,742.70",123.72K,-3.08%
1/18/25,"104,536.90","104,084.70","104,953.10","102,297.00",79.30K,0.43%
1/17/25,"104,084.90","99,991.90","105,843.80","99,956.20",127.33K,4.08%
1/16/25,"100,004.50","100,499.90","100,812.40","97,400.20",87.08K,-0.49%
1/15/25,"100,499.80","96,547.40","100,671.00","96,501.90",95.32K,4.10%
1/14/25,"96,542.10","94,536.70","97,361.20","94,359.50",87.79K,2.12%
1/13/25,"94,536.10","94,545.00","95,928.10","89,423.10",37.70K,-0.01%
1/12/25,"94,541.80","94,600.00","95,384.30","93,711.20",17.60K,-0.07%
1/11/25,"94,612.00","94,724.00","94,765.50","93,847.80",72.66K,-0.12%
1/10/25,"94,724.10","92,540.50","95,760.60","92,310.60",125.42K,2.36%
1/9/25,"92,539.80","95,066.60","95,323.10","91,241.90",132.78K,-2.66%
1/8/25,"95,066.60","96,938.20","97,266.40","92,716.60",100.36K,-1.92%
1/7/25,"96,929.80","102,247.90","102,678.20","96,201.30",99.77K,-5.20%
